Data;Arquivo;Caminho;Inativo;Riscos;Tamanho_MB
21/03/2026 21:53;service-account-key.json;C:\Users\moniq\ache-flow-ia\service-account-key.json;NÃO;Chave Privada;0.002
21/03/2026 21:53;main.py;C:\Users\moniq\ache-flow-ia\main.py;NÃO;Credencial;0.157
21/03/2026 21:53;_serialization.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\cryptography\hazmat\primitives\_serialization.py;NÃO;Credencial;0.005
21/03/2026 21:53;ec.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\ec.py;NÃO;Credencial;0.012
21/03/2026 21:53;ssh.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\cryptography\hazmat\primitives\serialization\ssh.py;NÃO;Credencial;0.051
21/03/2026 21:53;tsigkeyring.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\dns\tsigkeyring.py;NÃO;Credencial;0.003
21/03/2026 21:53;base.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\dns\dnssecalgs\base.py;NÃO;Credencial;0.002
21/03/2026 21:53;cryptography.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\dns\dnssecalgs\cryptography.py;NÃO;Credencial;0.002
21/03/2026 21:53;cli.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\dotenv\cli.py;NÃO;Credencial;0.006
21/03/2026 21:53;incremental_tree.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\et_xmlfile\incremental_tree.py;NÃO;Credencial;0.033
21/03/2026 21:53;http.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\fastapi\security\http.py;NÃO;Credencial;0.013
21/03/2026 21:53;oauth2.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\fastapi\security\oauth2.py;NÃO;Credencial;0.021
21/03/2026 21:53;external_account_authorized_user.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\auth\external_account_authorized_user.py;NÃO;Credencial;0.016
21/03/2026 21:53;environment_vars.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\auth\environment_vars.py;NÃO;Token/Key;0.003
21/03/2026 21:53;_mtls_helper.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\auth\transport\_mtls_helper.py;NÃO;Chave Privada;0.014
21/03/2026 21:53;_python_rsa.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\auth\crypt\_python_rsa.py;NÃO;Chave Privada;0.006
21/03/2026 21:53;_oauth2client.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\auth\_oauth2client.py;NÃO;Credencial;0.006
21/03/2026 21:53;api_auth.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\cloud\aiplatform_v1beta1\types\api_auth.py;NÃO;Credencial;0.002
21/03/2026 21:53;_credentials_async.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\oauth2\_credentials_async.py;NÃO;Credencial;0.004
21/03/2026 21:53;utils.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\oauth2\utils.py;NÃO;Credencial;0.006
21/03/2026 21:53;_reauth_async.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\oauth2\_reauth_async.py;NÃO;Credencial;0.011
21/03/2026 21:53;challenges.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\oauth2\challenges.py;NÃO;Credencial;0.01
21/03/2026 21:53;credentials.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\google\oauth2\credentials.py;NÃO;Credencial;0.024
21/03/2026 21:53;_server.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\grpc\_server.py;NÃO;Token/Key;0.05
21/03/2026 21:53;socks_proxy.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\httpcore\_async\socks_proxy.py;NÃO;Credencial;0.013
21/03/2026 21:53;socks_proxy.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\httpcore\_sync\socks_proxy.py;NÃO;Credencial;0.013
21/03/2026 21:53;_auth.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\httpx\_auth.py;NÃO;Credencial;0.011
21/03/2026 21:53;_urls.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\httpx\_urls.py;NÃO;Credencial;0.021
21/03/2026 21:53;_main.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\httpx\_main.py;NÃO;Credencial;0.015
21/03/2026 21:53;test_direct.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\numpy\random\tests\test_direct.py;NÃO;Credencial;0.02
21/03/2026 21:53;protection.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\openpyxl\chartsheet\protection.py;NÃO;Credencial;0.001
21/03/2026 21:53;protection.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\openpyxl\workbook\protection.py;NÃO;Credencial;0.006
21/03/2026 21:53;protection.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\openpyxl\utils\protection.py;NÃO;Credencial;0.001
21/03/2026 21:53;protection.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\openpyxl\worksheet\protection.py;NÃO;Credencial;0.004
21/03/2026 21:53;high_level.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\pdfminer\high_level.py;NÃO;Credencial;0.007
21/03/2026 21:53;display.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\pdfplumber\display.py;NÃO;Credencial;0.012
21/03/2026 21:53;repair.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\pdfplumber\repair.py;NÃO;Credencial;0.002
21/03/2026 21:53;pdf.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\pdfplumber\pdf.py;NÃO;Credencial;0.006
21/03/2026 21:53;CurImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\CurImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;ContainerIO.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ContainerIO.py;NÃO;Credencial;0.005
21/03/2026 21:53;BdfFontFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\BdfFontFile.py;NÃO;Credencial;0.003
21/03/2026 21:53;BmpImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\BmpImagePlugin.py;NÃO;Credencial;0.019
21/03/2026 21:53;DcxImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\DcxImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;FontFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\FontFile.py;NÃO;Credencial;0.004
21/03/2026 21:53;FliImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\FliImagePlugin.py;NÃO;Credencial;0.005
21/03/2026 21:53;GdImageFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\GdImageFile.py;NÃO;Credencial;0.003
21/03/2026 21:53;GbrImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\GbrImagePlugin.py;NÃO;Credencial;0.003
